Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Depth (mm)
Issued:,10 September 2026
Location Label:,
Requested coordinate:,Latitude,-19.2377,Longitude,146.6329
Nearest grid cell:,Latitude,19.2375 (S),Longitude,146.6375 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 hour,60,40.4,46.0,63.4,74.8,85.8,100,111
1.5 hour,90,48.2,55.1,76.6,91.1,105,124,138
2 hour,120,54.2,62.2,87.3,104,121,143,160
3 hour,180,63.5,73.3,104,126,147,175,197
4.5 hour,270,73.9,85.8,124,151,177,213,241
6 hour,360,82.1,95.8,140,171,202,244,277
9 hour,540,95.1,112,165,203,241,292,333
12 hour,720,106,124,185,228,272,330,376
18 hour,1080,122,145,217,268,320,387,440
24 hour,1440,136,161,242,298,356,429,486
30 hour,1800,147,174,262,323,385,463,522
36 hour,2160,157,186,279,344,410,490,552
48 hour,2880,174,205,307,378,449,534,597
72 hour,4320,199,234,347,426,504,594,661
96 hour,5760,216,254,375,459,543,638,707
120 hour,7200,228,268,396,485,573,674,747
144 hour,8640,237,279,412,505,598,705,783
168 hour,10080,243,287,425,522,620,733,817
